#VERSION,1,2026/5/31 16:38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~索引,测点名称,描述,设计编号,数据类型,读写属性,驱动类型,测点地址,单位,测点类型,工程上限,工程下限,优先级,安全区,报警区,历史存储,报警类型,高高,高,低,低低,历史缓存,OPC输出,语音报警,采集周期,历史库名称,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,签名,许可,报警确认时是否需要签名
1,HW.DI010201.PV,3A小机DCS跳闸指令1,,BOOL,,,HW.DI010201.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
2,HW.DI010202.PV,3A小机遥控允许,,BOOL,,,HW.DI010202.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
3,HW.DI010203.PV,3A小机DCS允许启动,,BOOL,,,HW.DI010203.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
4,HW.DI010204.PV,3A小机速关阀已开,,BOOL,,,HW.DI010204.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
5,HW.DI010205.PV,3A小机停机电磁阀电源故障1-110VDC,,BOOL,,,HW.DI010205.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
6,HW.DI010207.PV,3A小机润滑油压力低低1,,BOOL,,,HW.DI010207.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
7,HW.DI010208.PV,3A小机CD台手动停机按钮1-1,,BOOL,,,HW.DI010208.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
8,HW.DI010209.PV,3A小机高压抗燃油压低低1,,BOOL,,,HW.DI010209.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
9,HW.DI010210.PV,3A小机排汽压力高高1,,BOOL,,,HW.DI010210.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
10,HW.DI010211.PV,3A小机位移大跳机2,,BOOL,,,HW.DI010211.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
11,HW.DI010212.PV,3A小机速关油压低低2,,BOOL,,,HW.DI010212.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
12,HW.AI010404.PV,3A小机遥控转速指令1,,FLOAT,,,HW.AI010404.PV,,,5945,2200,0,,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
13,HW.AI010405.PV,3A小机速关油压力,,FLOAT,,,HW.AI010405.PV,,,1.6,0,0,,,Y,,20000,1.2,0.5,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
14,HW.AI010406.PV,3A小机速关模块中间压力,,FLOAT,,,HW.AI010406.PV,,,2,0,0,,,Y,,20000,0.8,0.2,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
15,HW.AQ010501.PV,3A小机转速设定值,,FLOAT,,,HW.AQ010501.PV,,,5945,2200,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
16,HW.AQ010502.PV,3A小机转速实际值,,FLOAT,,,HW.AQ010502.PV,,,6300,0,0,,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
17,HW.DI020201.PV,3A小机DCS跳闸指令2,,BOOL,,,HW.DI020201.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
18,HW.DI020202.PV,3A小机DCS复位,,BOOL,,,HW.DI020202.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
19,HW.DI020203.PV,3A小机速关阀已关,,BOOL,,,HW.DI020203.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
20,HW.DI020204.PV,3A小机速关油压力低低1,,BOOL,,,HW.DI020204.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
21,HW.DI020205.PV,3A小机EH油压低低2,,BOOL,,,HW.DI020205.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
22,HW.DI020206.PV,3A小机润滑油压力低低2,,BOOL,,,HW.DI020206.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
23,HW.DI020207.PV,3A小机排汽压力高高2,,BOOL,,,HW.DI020207.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
24,HW.DI020208.PV,3A小机排汽压力高高3,,BOOL,,,HW.DI020208.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
25,HW.DI020210.PV,3A小机位移大跳机1,,BOOL,,,HW.DI020210.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
26,HW.DI020211.PV,3A小机CD台手动停机按钮2-1,,BOOL,,,HW.DI020211.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
27,HW.DI020212.PV,3A小机停机电磁阀电源故障2-110VDC,,BOOL,,,HW.DI020212.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
28,HW.DI020301.PV,3A汽泵前轴Y振动H报警,,BOOL,,,HW.DI020301.PV,,,2,-1,0,,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
