#VERSION,1,2026/5/31 16:38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~索引,测点名称,描述,设计编号,数据类型,读写属性,驱动类型,测点地址,单位,测点类型,工程上限,工程下限,优先级,安全区,报警区,历史存储,报警类型,高高,高,低,低低,历史缓存,OPC输出,语音报警,采集周期,历史库名称,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,签名,许可,报警确认时是否需要签名
1,HW.RT010101.PV,E磨煤机电机线圈温度1,30HFC50CT103,FLOAT,,,HW.RT010101.PV,,,600,-100,0,S001,A001,Y,,20000,100,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
2,HW.RT010102.PV,E磨煤机电机轴承温度1,30HFC50CT115,FLOAT,,,HW.RT010102.PV,,,600,-100,0,S001,A001,Y,,20000,70,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
3,HW.RT010103.PV,E磨煤机油箱温度,30HFC55CT101,FLOAT,,,HW.RT010103.PV,,,600,-100,0,S001,A001,Y,,20000,55,35,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
4,HW.RT010104.PV,E磨煤机减速机轴承温度6,30HFC55CT108,FLOAT,,,HW.RT010104.PV,,,600,-100,0,S001,A001,Y,,20000,75,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
5,HW.RT010105.PV,E磨煤机减速机轴承温度1,30HFC55CT103,FLOAT,,,HW.RT010105.PV,,,600,-100,0,S001,A001,Y,,20000,75,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
6,HW.RT010106.PV,E磨煤机电机线圈温度6,30HFC50CT108,FLOAT,,,HW.RT010106.PV,,,600,-100,0,S001,A001,Y,,20000,100,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
7,HW.RT010107.PV,E磨煤机出口温度1,30HFC50CT101,FLOAT,,,HW.RT010107.PV,,,600,-100,0,S001,A001,Y,,20000,93,60,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
8,HW.DQ010201.PV,E层#1角煤粉火焰SET,30HHA15CB10101,BOOL,,,HW.DQ010201.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
9,HW.DQ010202.PV,EF层#1角油火焰SET,30HJF13CB10101,BOOL,,,HW.DQ010202.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
10,HW.DQ010203.PV,F层#1角煤粉火焰SET,30HHA16CB10101,BOOL,,,HW.DQ010203.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
11,HW.DQ010204.PV,开EF层#1角油枪吹扫气动门,30HJM13AA0031,BOOL,,,HW.DQ010204.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
12,HW.DQ010206.PV,开EF层#1角油枪进油气动门,30HJF13AA0021,BOOL,,,HW.DQ010206.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
13,HW.DQ010208.PV,进EF层#1角油枪,30HJF13AZ1011,BOOL,,,HW.DQ010208.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
14,HW.DQ010209.PV,退EF层#1角油枪,30HJF13AZ1012,BOOL,,,HW.DQ010209.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
15,HW.DQ010210.PV,进EF层#1角点火枪,30HJF13AZ0011,BOOL,,,HW.DQ010210.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
16,HW.DQ010211.PV,启动EF层#1角点火器,30HJF13AV0011,BOOL,,,HW.DQ010211.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
17,HW.DQ010212.PV,开E磨煤机密封风电动风门,30HFW25AA0021,BOOL,,,HW.DQ010212.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
18,HW.DQ010213.PV,关E磨煤机密封风电动风门,30HFW25AA0022,BOOL,,,HW.DQ010213.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
19,HW.DQ010214.PV,退EF层#1角点火枪,,BOOL,,,HW.DQ010214.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
20,HW.AQ010301.PV,E给煤机给煤指令,30HFB50GH00101,FLOAT,,,HW.AQ010301.PV,,,100,0,0,S001,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
21,HW.AQ010302.PV,E磨煤机进口热风电动调节风门指令,30HFE25AA1010,FLOAT,,,HW.AQ010302.PV,,,100,0,0,S001,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
22,HW.AQ010303.PV,E磨煤机进口冷风电动调节风门指令,30HFE15AA1010,FLOAT,,,HW.AQ010303.PV,,,100,0,0,S001,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
23,HW.AQ010305.PV,E磨煤机油站冷却水调阀指令,,FLOAT,,,HW.AQ010305.PV,,,100,0,0,S001,,Y,,105,102,-2,-5,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
24,HW.AI010401.PV,E给煤机瞬时给煤量,30HFB50GH00102,FLOAT,,,HW.AI010401.PV,,,65,0,0,S001,A001,Y,,20000,65,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
25,HW.AI010402.PV,E磨煤机一次风流量1,30HFE35CF101A,FLOAT,,,HW.AI010402.PV,,,1,-0.5,0,S001,A001,Y,,20000,1,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
26,HW.AI010403.PV,E磨煤机进口热风电动调节风门位置,30HFE25AA1019,FLOAT,,,HW.AI010403.PV,,,100,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
27,HW.AI010404.PV,E磨煤机进口冷风电动调节风门位置,30HFE15AA1019,FLOAT,,,HW.AI010404.PV,,,100,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
28,HW.AI010405.PV,E磨煤机润滑油压力2,30HFC55CP102,FLOAT,,,HW.AI010405.PV,,,1,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
29,HW.AI010406.PV,E磨煤机润滑油滤网差压,30HFC55CP106,FLOAT,,,HW.AI010406.PV,,,1,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
30,HW.AI010407.PV,E磨煤机油站冷却水调阀反馈,,FLOAT,,,HW.AI010407.PV,,,100,0,0,S001,A001,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
31,HW.DI010601.PV,EF层#1角油枪吹扫气动门已开,30HJM13AA0033,BOOL,,,HW.DI010601.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
