#VERSION,1,2026/5/31 16:38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~索引,测点名称,描述,设计编号,数据类型,读写属性,驱动类型,测点地址,单位,测点类型,工程上限,工程下限,优先级,安全区,报警区,历史存储,报警类型,高高,高,低,低低,历史缓存,OPC输出,语音报警,采集周期,历史库名称,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,签名,许可,报警确认时是否需要签名
1,HW.DQ010207.PV,FSSS公共逻辑停D磨输出2,,BOOL,,,HW.DQ010207.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
2,HW.DI010414.PV,RB 3,30MCS12FSSS-I,BOOL,,,HW.DI010414.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
3,HW.DI020811.PV,RB 2,30MCS11FSSS-I,BOOL,,,HW.DI020811.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
4,HW.DQ030206.PV,FSSS公共逻辑停E磨输出,30FSSS15HFC-O,BOOL,,,HW.DQ030206.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
5,HW.DQ030207.PV,FSSS公共逻辑停F磨输出,30FSSS16HFC-O,BOOL,,,HW.DQ030207.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
6,HW.DQ040102.PV,FSSS公共逻辑停F磨输出2,,BOOL,,,HW.DQ040102.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
7,HW.DQ040103.PV,FSSS公共逻辑停E磨输出2,,BOOL,,,HW.DQ040103.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
8,HW.DQ040210.PV,FSSS公共逻辑停D磨输出,30FSSS14HFC-O,BOOL,,,HW.DQ040210.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
9,HW.DQ050204.PV,FSSS公共逻辑停F磨输出3,,BOOL,,,HW.DQ050204.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
10,HW.DQ050205.PV,FSSS公共逻辑停E磨输出3,,BOOL,,,HW.DQ050205.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
11,HW.DQ050206.PV,FSSS公共逻辑停D磨输出3,,BOOL,,,HW.DQ050206.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
12,HW.DI050613.PV,RB 1,30MCS30FSSS-I,BOOL,,,HW.DI050613.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
