#VERSION,1,2026/5/31 16:38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~索引,测点名称,描述,设计编号,数据类型,读写属性,驱动类型,测点地址,单位,测点类型,工程上限,工程下限,优先级,安全区,报警区,历史存储,报警类型,高高,高,低,低低,历史缓存,OPC输出,语音报警,采集周期,历史库名称,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,签名,许可,报警确认时是否需要签名,
1,HW.RT010101.PV,C磨煤机电机线圈温度1,30HFC30CT103,FLOAT,,,HW.RT010101.PV,,,600,-100,0,S001,A001,Y,,20000,100,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
2,HW.RT010102.PV,C磨煤机电机轴承温度1,30HFC30CT115,FLOAT,,,HW.RT010102.PV,,,600,-100,0,S001,A001,Y,,20000,70,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
3,HW.RT010103.PV,C磨煤机电机线圈温度6,30HFC30CT108,FLOAT,,,HW.RT010103.PV,,,600,-100,0,S001,A001,Y,,20000,100,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
4,HW.RT010104.PV,C磨煤机润滑油温度,30HFC35CT102,FLOAT,,,HW.RT010104.PV,,,600,-100,0,S001,A001,Y,,20000,55,35,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
5,HW.RT010106.PV,C磨煤机减速机轴承温度4,30HFC35CT106,FLOAT,,,HW.RT010106.PV,,,600,-100,0,S001,A001,Y,,20000,75,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
6,HW.RT010107.PV,C磨煤机润滑油温度2,30HFC35CT117,FLOAT,,,HW.RT010107.PV,,,600,-100,0,S001,A001,Y,,20000,55,35,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
7,HW.DQ010201.PV,C层#1角煤粉火焰SET,30HHA13CB10101,BOOL,,,HW.DQ010201.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
8,HW.DQ010202.PV,CD层#1角油火焰SET,30HJF12CB10101,BOOL,,,HW.DQ010202.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
9,HW.DQ010203.PV,D层#1角煤粉火焰SET,30HHA14CB10101,BOOL,,,HW.DQ010203.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
10,HW.DQ010204.PV,开CD层#1角油枪吹扫气动门,30HJM12AA0031,BOOL,,,HW.DQ010204.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
11,HW.DQ010205.PV,#3炉BC联络给煤机3C侧进口气动隔离,30HFC23AA0311,BOOL,,,HW.DQ010205.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0,
