#VERSION,1,2026/5/31 16:38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
~索引,测点名称,描述,设计编号,数据类型,读写属性,驱动类型,测点地址,单位,测点类型,工程上限,工程下限,优先级,安全区,报警区,历史存储,报警类型,高高,高,低,低低,历史缓存,OPC输出,语音报警,采集周期,历史库名称,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,自定义标题,签名,许可,报警确认时是否需要签名
1,HW.RT010102.PV,备用RT-KM232A,,FLOAT,,,HW.RT010102.PV,,,600,-100,0,S001,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
2,HW.RT010103.PV,D磨煤机电机后轴承温度2,30HFC40CT118,FLOAT,,,HW.RT010103.PV,,,600,-100,0,S001,A001,Y,,20000,70,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
3,HW.RT010104.PV,D磨煤机电机前轴承温度2,30HFC40CT119,FLOAT,,,HW.RT010104.PV,,,600,-100,0,S001,A001,Y,,20000,70,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
4,HW.RT010105.PV,D磨煤机电机线圈温度1,30HFC40CT103,FLOAT,,,HW.RT010105.PV,,,600,-100,0,S001,A001,Y,,20000,100,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
5,HW.RT010106.PV,D磨煤机电机线圈温度6,30HFC40CT108,FLOAT,,,HW.RT010106.PV,,,600,-100,0,S001,A001,Y,,20000,100,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
6,HW.RT010107.PV,D磨煤机减速机轴承温度6,30HFC45CT108,FLOAT,,,HW.RT010107.PV,,,600,-100,0,S001,A001,Y,,20000,100,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
7,HW.RT010108.PV,备用RT-KM232A,,FLOAT,,,HW.RT010108.PV,,,600,-100,0,S001,,Y,,20000,10000,-10000,-20000,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
8,HW.DQ010201.PV,D磨煤机润滑油站电加热器合闸命令,30HFC45AH0011,BOOL,,,HW.DQ010201.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
9,HW.DQ010202.PV,D磨煤机润滑油站电加热器跳闸命令,30HFC45AH0012,BOOL,,,HW.DQ010202.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
10,HW.DQ010205.PV,开D给煤机进口电动门,30HFB40AA0411,BOOL,,,HW.DQ010205.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
11,HW.DQ010206.PV,关D给煤机进口电动门,30HFB40AA0412,BOOL,,,HW.DQ010206.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
12,HW.DQ010208.PV,启D给煤机,30HFB40AF0011,BOOL,,,HW.DQ010208.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
13,HW.DQ010209.PV,停D给煤机,30HFB40AF0012,BOOL,,,HW.DQ010209.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
14,HW.DQ010210.PV,D磨煤机运行,30DCS009FGD,BOOL,,,HW.DQ010210.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
15,HW.DQ010212.PV,备用DQ-KM235B,,BOOL,,,HW.DQ010212.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
16,HW.DQ010213.PV,D磨煤机合闸命令,30HFC40AJ0011,BOOL,,,HW.DQ010213.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
17,HW.DQ010214.PV,D磨煤机跳闸命令,30HFC40AJ0012,BOOL,,,HW.DQ010214.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
18,HW.DQ010215.PV,备用DQ-KM235B,,BOOL,,,HW.DQ010215.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
19,HW.DQ010216.PV,备用DQ-KM235B,,BOOL,,,HW.DQ010216.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
20,HW.DI010301.PV,D给煤机运行,30HFB40AF0013,BOOL,,,HW.DI010301.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
21,HW.DI010302.PV,D给煤机清扫链运行中,30HFB40GH00105,BOOL,,,HW.DI010302.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
22,HW.DI010303.PV,D给煤机清扫链故障,30HFB40GH00107,BOOL,,,HW.DI010303.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
23,HW.DI010304.PV,D给煤机故障,30HFB40GH00108,BOOL,,,HW.DI010304.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
24,HW.DI010305.PV,D给煤机在遥控方式,30HFB40GH00109,BOOL,,,HW.DI010305.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
25,HW.DI010306.PV,D给煤机出口堵煤,30HFB40GH00112,BOOL,,,HW.DI010306.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
26,HW.DI010307.PV,D给煤机进口堵煤,30HFB40GH00113,BOOL,,,HW.DI010307.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
27,HW.DI010308.PV,D给煤机断煤,30HFB40GH00114,BOOL,,,HW.DI010308.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
28,HW.DI010309.PV,D给煤机控制系统故障,30HFB40GH00115,BOOL,,,HW.DI010309.PV,,,2,-1,0,S001,A002,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
29,HW.DI010311.PV,D磨煤机出口D2气动快关门已开,30HHE42AA0213,BOOL,,,HW.DI010311.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
30,HW.DI010312.PV,D磨煤机出口D2气动快关门已关,30HHE42AA0214,BOOL,,,HW.DI010312.PV,,,2,-1,0,S001,,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
31,HW.DI010313.PV,D煤层火检丧失火焰三支以上,30FSSS21HFC-I,BOOL,,,HW.DI010313.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
32,HW.DI010314.PV,D给煤机在容积模式,30HFB40GH00111,BOOL,,,HW.DI010314.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
33,HW.DI010315.PV,D给煤机超温,30HFB40GH00116,BOOL,,,HW.DI010315.PV,,,2,-1,0,S001,A001,Y,,,,,,N,Y,,1000,ALL,,,,,,,,,,,0,0,0
